 001 Sallet                     Sallet
 002 Bicocette                  Bicocette
*003 Barbuta                    Barbut
 004 Armet                      Armet
 005 Bascinet                   Bascinet
 006 Zurvan                     Zurvan
 007 Varan                      Varan
 008 Arast                      Arast
 009 Coyote                     Coyote
 010 Wild Wolf                  Wild Wolf
 011 Killer Hound               Killer Hound
 012 White Fang                 White Fang
 013 Canis Major                Canis Major
 014 Lupus                      Lupus
 015 Tindalos                   Tindalos
*016 Flan Azul                  Blue Pudding
*017 Flan Amarillo              Yellow Pudding
*018 Flan Palido                Pale Pudding
*019 Flan Blanco                White Pudding
*020 Flan Rojo                  Red Pudding
*021 Flan Azabache              Black Pudding
 022 Gecko                      Gecko
 023 Agama                      Agama
 024 Skink                      Skink
 025 Anole                      Anole
 026 Archaeothyris              Archaeothyris
 027 Lacerta                    Lacerta
*028 Divebeak                   Dive Pecker
*029 Peregrine                  Eagle
*030 Aquila                     Falcon
*031 Death Dauber               Bite Wasp
*032 Assassin Bee               Piercing Bug
*033 Aculeate                   Assassin Bee
 034 Vespa                      Vespa
 035 Ahriman                    Ahriman
 036 Fly Eye                    Fly Eye
 037 Vertigo                    Vertigo
*038 Grim Gaze                  Death Gaze
 039 Purpurea                   Purpurea
 040 Leucophylla                Leucophylla
 041 Cephalotus                 Cephalotus
 042 Shantak                    Shantak
 043 Zu                         Zu
 044 Sand Worm                  Sand Worm
 045 Earth Worm                 Earth Worm
*046 YSLS-99                    Machine-Type 99
*047 YSLS-Zero                  Machine-Type Zero
 048 Haunt                      Haunt
 049 Phantom                    Phantom
 050 Nashorn                    Nashorn
*051 Quadricorn                 Quattro Horn
 052 Balivarha                  Balivarha
 053 Lesser Drake               Lesser Drake
 054 Spine Drake                Spine Drake
 055 Bolt Drake                 Bolt Drake
*056 Greater Drake              Greater Drake                       Great Drake
 057 Elder Drake                Elder Drake
*058 Malboro                    Morbol
*059 Great Malboro              Great Morbol
 060 Gigas                      Gigas
 061 Gug                        Gug
 062 Hrimthurs                  Hrimthurs
 063 Yellow Elemental           Yellow Elemental
 064 White Elemental            White Elemental
 065 Red Elemental              Red Elemental
 066 Gold Elemental             Gold Elemental
 067 Blue Elemental             Blue Elemental
 068 Dark Elemental             Dark Elemental
 069 Black Elemental            Black Elemental
 070 Takouba                    Takouba
 071 Barong                     Barong
 072 Behemoth                   Behemoth
 073 Humbaba                    Humbaba
*074 Protochimera               Proto Chimera
*075 Rhyos                      Gorgimera
 076 Coeurl                     Coeurl
 077 Queen Coeurl               Queen Coeurl
 078 Machina Ranger             Machina Ranger
 079 Machina Hunter             Machina Hunter
 080 Machina Soldier            Machina Soldier
 081 Tomb                       Tomb
 082 Scout Machina              Scout Machina
 083 Guard Machina              Guard Machina
 084 Assault Machina            Assault Machina
 085 Iron Giant                 Iron Giant
*086 Gemini                     Wolframiter
*087 Gemini                     Wolframiter
 088 Kukulcan                   Kukulcan
 089 Gucumatz                   Gucumatz
*090 Adamantoise                Adamant Hawksbill
 091 Daeva                      Daeva
*092 Ochu                       Otyugh
*093 Flailing Ochu              Raging Otyugh
*094 YAC-13                     Cannon Machine Soldier-Type 13
*095 YAC-62                     Cannon Machine Soldier-Type 62
 096 Bomb                       Bomb
 097 Detonator                  Detonator
 098 Volcano                    Volcano
*099 YAU-28                     Attack Machine Soldier-Type 28
*100 YAU-71                     Attack Machine Soldier-Type 71
*101 Yevon Guard                Defense Unit
*102 Yevon Striker              Assault Unit
*103 Yevon Defender             Protection Unit
